created_at,id,image_url,name,brand,category,raw_ingredients
2026-08-13 06:46:33.364024+00,21,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022269818ko.png,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),아누아,SERUM,"하이드롤라이즈드하이알루로닉애씨드(29,049ppm), 나이아신아마이드, 하이드롤라이즈드콜라겐, 소듐하이알루로 네이트(800ppm), 아데노신, 소듐디엔에이(100ppm), 하이알 루로닉애씨드(30ppm), 하이드롤라이즈드소듐하이알루로네이 트(30ppm), 하이드록시프로필트라이모늄하이알루로네이트 (30ppm), 포타슘하이알루로네이트(30ppm), 소듐하이알루 로네이트크로스폴리머(30ppm), 소듐아세틸레이티드하이알 루로네이트(1ppm),  소듐디엔에이"
2026-08-13 06:46:40.200066+00,22,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0019/A00000019832009ko.jpg,[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml,에스트라,CREAM,"정제수, 부틸렌글라이콜, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 세틸에틸헥사노에이트, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 다이카프릴릴카보네이트, 베헤닐알코올, 다이메티콘, 하이드록시프로필비스팔미타마이드엠이에이, 스테아릭애씨드, 베타인, 만니톨, C14-22알코올, 팔미틱애씨드, 하이드록시프로필비스라우라마이드엠이에이, 아라키딜알코올, 콜레스테롤, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 알란토인, 아라키딜글루코사이드, 나이아신아마이드, 세라마이드엔피, 글리세릴카프릴레이트, 에틸헥실글리세린, 하이드로제네이티드폴리아이소부텐, 카보머, 트로메타민, 다이메티콘올, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 솔비탄아이소스테아레이트, 실리카, 피토스핑고신, 스핑고리피드, 아라키딕애씨드, 토코페롤, 올레익애씨드"
2026-08-13 06:46:51.003897+00,23,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0011/A00000011754150ko.jpg,[베스트 올인원]우르오스 올인원 200ml 2종 택 1,우르오스,ETC,"정제수, 글리세린, 하이드로제네이티드폴리(C6-12올레핀), 에탄올, 폴리글리세릴-10아이소스테아레이트, 아데노신포스페이트, 하이드록시프로필사이클로덱스트린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 글리세릴카프릴레이트, 폴리글리세릴-10스테아레이트, 소듐아이소스테아로일락테이트, 소듐락테이트, 소듐하이드록사이드, 클로브꽃추출물, 사철쑥꽃추출물, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 터펜틴, 리날룰, 리모넨 ■ 우르오스 올인원 스킨로션 200ml 정제수, 에탄올, 펜틸렌글라이콜, 글리세린, 베타인, 피이지-6, 피이지-32, 아데노신포스페이트, 소듐하이드록사이드, 소듐다이라우미도글루타미드라이신, 피피지-6-데실테트라데세스-30, 알진, 시트릭애씨드, 소듐하이알루로네이트, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 페녹시에탄올, 터펜틴, 리날룰"
2026-08-13 06:47:02.485324+00,24,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0026/A00000026144204ko.jpg,블랑네이처 9배 고농축 어성초 토너 300ml 기획 (+30ml),블랑네이처,TONER,"정제수, 약모밀추출물(100,000 ppm), 부틸렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 글리세린, 판테놀, 카보머, 알지닌, 글루코노락톤, 다이포타슘글리시리제이트, 아데노신, 다이소듐이디티에이, 하이알루로닉애씨드, 녹차추출물, 병풀추출물, 파파야열매추출물, 매실추출물, 사과추출물, 포도추출물, 데실글루코사이드, 시트릭애씨드, 티트리잎추출물, 살리실릭애씨드, 에틸헥실글리세린, 병풀잎추출물, 오카무라큰실말추출물, 흰버드나무껍질추출물, 징크피씨에이, 4-터피네올, 커피콩추출물, 마데카소사이드, 마데카식애씨드, 아시아티코사이드, 아시아틱애씨드, 베르가모트잎추출물, 소나무잎추출물, 소듐디엔에이"
2026-08-13 06:47:13.870023+00,25,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0026/A00000026123503ko.jpg,[8월올영픽/단독기획] 동아제약 색소침착 프로 크림제 40ml 더블 기획 (+40ml),동아제약,CREAM,"정제수, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 나이아신아마이드, 트라이프로필렌글라이콜, 트라넥사믹애씨드, 프로판다이올, 네오펜틸글라이콜다이헵타노에이트, 세테아릴알코올, 비닐다이메티콘, 글리세릴스테아레이트, 1,2-헥산다이올, 폴리글리세릴-2스테아레이트, 베헤닐알코올, 스테아릴알코올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알파-알부틴, 카프릴릴글라이콜, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 알지닌, 글루타티온, 해바라기씨오일, 토코페롤, 다이소듐이디티에이, 아데노신, 글리세린, 솔비탄아이소스테아레이트, 세틸팔미테이트, 알부틴, 올리브오일, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 폴리글리세릴-10라우레이트, 베타인, 판테놀, 코직애씨드, 포스파티딜콜린, 세라마이드엔피, 콜레스테롤, 세라마이드에이피, 하이드로제네이티드레시틴, 아스코빌팔미테이트, 시어버터, 하이드록시데실유비퀴논, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 글라이코리피드, 헥실레조시놀"
2026-08-13 06:47:24.97226+00,26,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022362501ko.jpg,[각질쓱싹] 디오디너리 글리코릭 애시드 7% 엑스폴리에이팅 토너 240ml,디오디너리,TONER,"정제수, 글라이콜릭애씨드(7%), 다마스크장미꽃수, 수레국화꽃수, 알로에베라잎수, 프로판다이올, 글리세린, 트라이에탄올아민, 아미노메틸프로판올, 인삼추출물, 마운틴페퍼열매추출물, 마운틴페퍼잎추출물, 아스파틱애씨드, 알라닌, 글라이신, 세린, 발린, 아이소류신, 프롤린, 트레오닌, 히스티딘, 페닐알라닌, 글루타믹애씨드, 알지닌, 피씨에이, 소듐피씨에이, 소듐락테이트, 프룩토오스, 글루코오스, 수크로오스, 우레아, 헥실니코티네이트, 덱스트린, 시트릭애씨드, 폴리솔베이트20, 젤란검, 트라이소듐에틸렌다이아민다이석시네이트, 소듐클로라이드, 헥실렌글라이콜, 포타슘솔베이트, 소듐벤조에이트, 1,2-헥산다이올, 카프릴릴글라이콜."
2026-08-13 06:47:35.894762+00,27,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0000/A00000000656426ko.jpg,우르오스 올인원 스킨로션 200ml,우르오스,TONER,"정제수, 에탄올, 펜틸렌글라이콜, 글리세린, 베타인, 피이지-6, 피이지-32, 아데노신포스페이트, 소듐하이드록사이드, 소듐다이라우미도글루타미드라이신, 피피지-6-데실테트라데세스-30, 알진, 시트릭애씨드, 소듐하이알루로네이트, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 페녹시에탄올, 터펜틴, 리날룰"
2026-08-13 06:47:43.917827+00,28,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023182218ko.jpg,[8월올영픽/24시간파우더] 넘버즈인 1번 판토텐산 스킨케어100 블러파우더 기획 (+퍼프 1개),넘버즈인,TONER,"실리카, 다이메티콘, 옥수수전분, 알루미늄전분옥테닐석시네이트, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 마이카, 다이메티콘/비닐다이메티콘크로스폴리머, 카프릴릭/카프릭트라이글리세라이드, 옥틸도데실스테아로일스테아레이트, 칼라민, 마카다미아씨오일, 병풀추출물, 판토테닉애씨드, 징크피씨에이, 카프릴릴글라이콜, 나이아신아마이드, 에틸헥실글리세린, 다이포타슘글리시리제이트, 마데카소사이드, 토코페롤"
2026-08-13 06:47:51.506872+00,29,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0025/A00000025887736ko.jpg,[크림10ml추가/1+1] 이니스프리 레티놀 시카 모공 흔적 앰플 30ml 리필기획(+30ml 리필),이니스프리,SERUM,"정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 병풀잎수(17712ppm), 다이부틸아디페이트, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 콜레스테롤, 돌콩오일, 알란토인, 토코페롤, 에틸헥실글리세린, 토코페릴아세테이트, 소듐메틸스테아로일타우레이트, 해바라기씨오일, 폴리글리세릴-6카프릴레이트, 다이메틸아이소소바이드, 아데노신, 레티놀(1,000IU/g), 당근추출물, 잔탄검, 폴리글리세릴-10라우레이트, 하이드록시피나콜론레티노에이트, 레틴알, 풀루란, 세라마이드엔피, 하이알루로닉애씨드,베타-카로틴, 트로메타민, 병풀추출물(1ppm), 글라이코프로테인, 제인,  레티놀 1,000IU/g, 레틴알 0.005%, 하이드록시피나콜론레티노에이트 0.005%"
2026-08-13 06:48:01.978641+00,30,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0026/A00000026186405ko.jpg,에스트라 아토베리어365 크림 80ml 기획(+토너25ml+클렌징폼3g*3EA),에스트라,CREAM,"정제수, 부틸렌글라이콜, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 세틸에틸헥사노에이트, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 다이카프릴릴카보네이트, 베헤닐알코올, 다이메티콘, 하이드록시프로필비스팔미타마이드엠이에이, 스테아릭애씨드, 베타인, 만니톨, C14-22알코올, 팔미틱애씨드, 하이드록시프로필비스라우라마이드엠이에이, 아라키딜알코올, 콜레스테롤, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 알란토인, 아라키딜글루코사이드, 나이아신아마이드, 세라마이드엔피, 글리세릴카프릴레이트, 에틸헥실글리세린, 하이드로제네이티드폴리아이소부텐, 카보머, 트로메타민, 다이메티콘올, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 솔비탄아이소스테아레이트, 실리카, 피토스핑고신, 스핑고리피드, 아라키딕애씨드, 토코페롤, 올레익애씨드"
